Subject,Group,Feel1,Feel2,FeelChange,Int1,Int2,IntChange,RT_Descript1,RT_Descript2,RT_Elab,MemDate,PosCon1,PosCon2,PosConChange,Dissimilarity,Elab_pos,Elab_meaning,Elab_future,MemCount
737,Neutral,4.454545455,3.909090909,-0.545454545,2,1.545454545,-0.454545455,91887.81818,69287.18182,87159,4.454545455,2.9,3,0.1,2.590909091,3.909090909,3.136363636,0,11
738,Positive,3.8,4.2,0.4,3.4,3.8,0.4,74484.1,56396.3,55214,3.5,2.7,2.8,0.1,2.35,4.7,5.85,0.4,10
739,Positive,2.833333333,3.166666667,0.333333333,3.166666667,3.833333333,0.666666667,105762.8333,137912,66357.5,2.333333333,2.5,2.6,0.1,3.833333333,4.833333333,5.083333333,0.333333333,6
741,Negative,3.363636364,3.272727273,-0.090909091,2.363636364,2.363636364,0,126938,99138.45455,113411.8182,3.454545455,2.55,2.65,0.1,3.227272727,2.681818182,4.227272727,0.318181818,11
742,Negative,4.636363636,4.727272727,0.090909091,2.272727273,1.818181818,-0.454545455,81032.81818,93894.72727,62399.90909,4.909090909,2.65,2.55,-0.1,2.272727273,2.727272727,4.454545455,0.454545455,11
744,Negative,3.444444444,4,0.555555556,3.555555556,2.777777778,-0.777777778,102303,146180.7778,93842.33333,3.777777778,2.3125,2.375,0.0625,2.277777778,2.555555556,4,0.388888889,9
745,Neutral,2.375,2.25,-0.125,4.5,4.25,-0.25,93123.25,91173.5,69643.875,4.625,2.375,2.5,0.125,2.5625,3.125,3.9375,0,8
746,Neutral,4.416666667,5,0.583333333,2.916666667,2.5,-0.416666667,180938.5833,118397.0833,119453.6667,4.166666667,2.727272727,3.272727273,0.545454545,2.666666667,3.791666667,5,0.166666667,12
748,Distraction,3.5,2.9,-0.6,3.7,3.5,-0.2,180553.2,147179.8,,3.6,2.555555556,2.722222222,0.166666667,2.3,,,,10
749,Negative,3.8,3.6,-0.2,3,3.3,0.3,123703.5,119943.8,65760.3,4.4,2.9375,2.5625,-0.375,2.6,2.25,3.25,0.3,10
750,Positive,4.2,4.9,0.7,1.9,2,0.1,173179.7,132338.6,38015.7,4.3,2.555555556,2.444444444,-0.111111111,2.2,5,4.45,0.15,10
752,Distraction,3.888888889,3.888888889,0,3.444444444,3.333333333,-0.111111111,130583.5556,153408,,4.222222222,2.666666667,2.888888889,0.222222222,2.555555556,,,,9
754,Distraction,4,3.833333333,-0.166666667,3.5,2.666666667,-0.833333333,94409.5,63912.16667,,3.166666667,2.3,2,-0.3,2.5,,,,6
755,Distraction,4.1,4.2,0.1,2.4,2.1,-0.3,118615.4,96063.5,,2.7,2.777777778,2.833333333,0.055555556,2.65,,,,10
756,Negative,3.090909091,2.909090909,-0.181818182,3.090909091,3.727272727,0.636363636,172642.1818,166758.5455,127337,2.909090909,3.15,2.65,-0.5,3.090909091,2.545454545,3.772727273,0.272727273,11
757,Positive,3.777777778,4.111111111,0.333333333,2.777777778,3.555555556,0.777777778,415530.5556,258584.8889,177206.2222,2.666666667,2.5,2.75,0.25,2.611111111,6.111111111,6.888888889,0.277777778,9
758,Neutral,5.833333333,6,0.166666667,1.166666667,1,-0.166666667,131468.1667,77276.33333,52489.16667,4.833333333,2.833333333,3.416666667,0.583333333,2.25,2.833333333,1.666666667,0,6
759,Negative,3.714285714,3.714285714,0,2.428571429,2.428571429,0,101517.7143,88656.14286,40554.85714,2.857142857,2.333333333,2.75,0.416666667,2.785714286,2.5,3.642857143,0.285714286,7
760,Positive,3.9,5.6,1.7,2.6,1.7,-0.9,120001.8,147135.6,123592.2,4.1,2.555555556,2.555555556,0,3.1,5.1,6.15,0.45,10
761,Neutral,3.166666667,4.166666667,1,3.666666667,2.166666667,-1.5,171875.6667,172515.1667,125853.5,3.5,2.833333333,3,0.166666667,2.083333333,3.833333333,2.583333333,0,6
762,Distraction,2.4,3.8,1.4,3.7,3.2,-0.5,99564.9,119699,,3.2,2.5,3.055555556,0.555555556,2.65,,,,10
763,Negative,3.454545455,3.090909091,-0.363636364,2.636363636,2.727272727,0.090909091,137709.7273,107282,100447.2727,3.818181818,2.4,2.65,0.25,2.363636364,2.590909091,4.409090909,0.272727273,11
764,Positive,4,4.125,0.125,2.625,2.375,-0.25,153741.25,163907.375,109646.625,4,2.5625,2.8125,0.25,2.25,6.0625,5.9375,0.4375,8
765,Neutral,3.909090909,4.454545455,0.545454545,2.909090909,2.181818182,-0.727272727,101452.6364,106104.5455,75207.36364,4.363636364,3.2,3.3,0.1,2.409090909,4.318181818,3,0,11
766,Distraction,2,2.5,0.5,3.5,3.5,0,373744.75,207125.8333,,4.416666667,2.727272727,2.5,-0.227272727,1.916666667,,,,12
767,Distraction,4.727272727,3.454545455,-1.272727273,2.090909091,2.636363636,0.545454545,192461.7273,121888.5455,,4.727272727,3.2,3.35,0.15,2.681818182,,,,11
768,Negative,2.166666667,2.75,0.583333333,3.75,3.583333333,-0.166666667,147327.3333,128739.6667,115952.9167,4.416666667,2.272727273,2.545454545,0.272727273,2.25,2.458333333,4.75,0.541666667,12
769,Positive,2.909090909,3.636363636,0.727272727,3.181818182,2.272727273,-0.909090909,135695.5455,88909.36364,99380.27273,5,2.5,2.75,0.25,2.227272727,4.681818182,5.454545455,0.363636364,11
770,Positive,3.916666667,5.083333333,1.166666667,2.833333333,1.416666667,-1.416666667,153252.8333,163860,106272.3333,4.916666667,2.5,2.454545455,-0.045454545,1.916666667,4.791666667,6.166666667,0.458333333,12
771,Neutral,4.181818182,3.909090909,-0.272727273,3.272727273,2.818181818,-0.454545455,66110,56359.81818,44912.72727,3.545454545,2.45,2.85,0.4,3.045454545,3.454545455,2.409090909,0,11
773,Distraction,3.777777778,4.777777778,1,1.888888889,2.333333333,0.444444444,126965,127936.1111,,3.555555556,2.444444444,2.5,0.055555556,2.388888889,,,,9
774,Negative,4,4.818181818,0.818181818,3.545454545,2.818181818,-0.727272727,165074.8182,73090.27273,112124.3636,4.818181818,2.45,2.9,0.45,4.136363636,2.909090909,4.272727273,0.181818182,11
777,Neutral,3.3,4.7,1.4,2.3,2.5,0.2,300441.5,312768.4,225437.9,4.7,3.055555556,3.222222222,0.166666667,2.25,4.1,4.85,0,10
778,Positive,2.5,5,2.5,3.333333333,2.5,-0.833333333,78786.16667,52026.83333,32717.66667,3.833333333,2.916666667,3.416666667,0.5,3.583333333,5.083333333,3.25,0.083333333,6
779,Distraction,3.3,3.2,-0.1,2.7,3.5,0.8,211556.5,140738.6,,3.6,2.5,2.888888889,0.388888889,2.5,,,,10
780,Negative,4.090909091,3.636363636,-0.454545455,3.727272727,3,-0.727272727,80993,78572.90909,54117,3.272727273,2.85,3.05,0.2,2.5,2.409090909,3.681818182,0.227272727,11
781,Distraction,4.25,4.333333333,0.083333333,2.416666667,2.416666667,0,178048.25,143008.8333,,4.75,2.636363636,2.954545455,0.318181818,2.625,,,,12
783,Negative,4.166666667,4,-0.166666667,2.333333333,3,0.666666667,77479.83333,78918,66493.66667,3.833333333,2.7,3.1,0.4,4.916666667,2.916666667,4.166666667,0.25,6
784,Positive,2.8,3.4,0.6,3.4,2.7,-0.7,160450.5,94580.1,74370.1,3.8,2.75,2.625,-0.125,2.3,5.15,5.75,0.3,10
785,Neutral,3.571428571,4.285714286,0.714285714,1.857142857,2.142857143,0.285714286,240130.2857,55236.57143,34911.42857,4,2.833333333,3.583333333,0.75,4.642857143,4.285714286,2.571428571,0,7
786,Positive,3,3.583333333,0.583333333,4,3.333333333,-0.666666667,106958.0833,121830.9167,63822.08333,4.333333333,2.863636364,2.772727273,-0.090909091,3.125,6.375,6.916666667,0.083333333,12
787,Neutral,4.416666667,4.666666667,0.25,2.333333333,2.083333333,-0.25,211202.5,185737.5,69855.33333,4.166666667,2.727272727,2.636363636,-0.090909091,2.375,3.958333333,2.166666667,0,12
789,Distraction,3.222222222,4,0.777777778,3.555555556,4,0.444444444,110032.1111,103235.8889,,3.555555556,2.875,3.375,0.5,2.666666667,,,,9
791,Distraction,3.090909091,3.454545455,0.363636364,3.545454545,3.545454545,0,147660.6364,170020.7273,,3.454545455,2.5,2.7,0.2,2.181818182,,,,11
794,Distraction,3.5,4.333333333,0.833333333,2.25,2.083333333,-0.166666667,224043.1667,136501.5833,,4.083333333,2.863636364,2.863636364,0,2.125,,,,12
795,Negative,2.666666667,2.555555556,-0.111111111,3,2.555555556,-0.444444444,145707.4444,89369.33333,31756.11111,3.444444444,2.375,2.5625,0.1875,3.277777778,2.333333333,2.777777778,0.277777778,9
797,Neutral,2.1,3.2,1.1,3.8,2.9,-0.9,192168.1,185140.8,50251.7,4.2,2.388888889,2.611111111,0.222222222,2.8,4.35,2.6,0,10
800,Neutral,3.75,4,0.25,2.583333333,2.333333333,-0.25,141017.4167,104438.25,81031.91667,4.416666667,2.818181818,2.772727273,-0.045454545,2.333333333,3.958333333,3.25,0,12
802,Negative,3.888888889,3.888888889,0,1.777777778,1.111111111,-0.666666667,177480.7778,169679.6667,153234.6667,5.444444444,2.4375,2.1875,-0.25,2.722222222,2.111111111,4.611111111,0.333333333,9
804,Neutral,3,3.5,0.5,1.625,1,-0.625,126247.625,46269.625,139225.75,3.625,2.9375,3.375,0.4375,2.5625,3.5625,4.25,0,8
806,Neutral,4.090909091,4.454545455,0.363636364,2.181818182,1.727272727,-0.454545455,190281.5455,120586,86378.09091,4.727272727,2.6,2.55,-0.05,2.590909091,3.318181818,4.272727273,0.090909091,11
807,Negative,3.090909091,3.363636364,0.272727273,3.181818182,3.363636364,0.181818182,128891.1818,89627.09091,101337,3.636363636,2.75,2.6,-0.15,2.227272727,2.772727273,5.181818182,0.363636364,11
809,Distraction,4,3.666666667,-0.333333333,2.75,3.5,0.75,177632.75,84094.16667,,4.416666667,2.818181818,2.863636364,0.045454545,2.625,,,,12
